"typeID","typeName","categoryID","categoryName","groupID","groupName","primaryIndex","subIndex"
52845,"Burst Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53491,"Festival Destroyer SKINs and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53377,"Catalyst Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53597,"Inquisitor Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53364,"Slasher Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53710,"High-grade Nirvana Alpha",20,"Implant",300,"Cyberimplant","N/A","N/A"
53184,"Ferox Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53133,"Caracal Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52741,"Myrmidon Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52732,"Ishtar Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53606,"Crusader Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53596,"Executioner Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53386,"Women's 'Eico Auroralite' Facial Augmentation",30,"Apparel",1670,"Augmentations","N/A","N/A"
53059,"Halloween Horrors Avatar SKIN and Fireworks Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53898,"Mid-grade Savior Gamma",20,"Implant",300,"Cyberimplant","N/A","N/A"
53170,"Blackbird Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53159,"Kitsune Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52721,"Maulus Navy Issue Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53640,"Apocalypse Navy Issue Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52889,"Tempest Fleet Issue Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53180,"Tengu Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53007,"Damnation Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53010,"Drake Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53373,"Drake Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52863,"Sabre Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52883,"Hurricane Fleet Issue Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53299,"Zirnitra Blueprint Data Vault",17,"Commodity",526,"Commodities","N/A","N/A"
52873,"Huginn Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53644,"Aeon Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52779,"Redeemer Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53616,"Arbitrator Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52751,"Dominix Navy Issue Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53643,"Archon Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52872,"Scimitar Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53384,"Men's Aurora Universalis Cap",30,"Apparel",1092,"Headwear","N/A","N/A"
52778,"Armageddon Navy Issue Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53424,"Jackdaw Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52851,"Wolf Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53897,"Mid-grade Savior Beta",20,"Implant",300,"Cyberimplant","N/A","N/A"
53851,"Vimoksha Chorus Log 1220108-TD53",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53196,"Phoenix Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53178,"Falcon Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52997,"Precursor Dreadnought",16,"Skill",257,"Spaceship Command","N/A","N/A"
52769,"Purifier Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52740,"Brutix Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53379,"Megathron Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53189,"Raven Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53206,"Minokawa Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53332,"PRNCR-03 Filament",17,"Commodity",4041,"Jump Filaments","N/A","N/A"
53608,"Deacon Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53021,"Bhaalgorn Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52862,"Bifrost Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52894,"Ragnarok Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53634,"Harbinger Navy Issue Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53368,"Maller Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53310,"Thrasher Harmonious Ascension SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53601,"Retribution Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53200,"Badger Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53383,"Men's Aurora Universalis T-Shirt",30,"Apparel",1089,"Tops","N/A","N/A"
53509,"Festival Battlecruiser SKINs and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53336,"DNNR-07 Filament",17,"Commodity",4041,"Jump Filaments","N/A","N/A"
53490,"Festival Tier 1 Filament Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53949,"Dramiel Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53498,"Festival Cap and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53531,"Cormorant Combat Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
52884,"Maelstrom Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52852,"Cheetah Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52725,"Eris Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53357,"Women's Polar Aurora Exploration Suit",30,"Apparel",1088,"Outer","N/A","N/A"
53187,"Vulture Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53369,"Executioner Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52714,"Helios Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53060,"Halloween Horrors Headhunter Cruiser SKINs",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53623,"Guardian Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
54160,"Diamond Ring",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53176,"Onyx Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52703,"Worm Aetheric Raiders SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52762,"Viator Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52789,"Mid-Grade Mimesis Epsilon",20,"Implant",300,"Cyberimplant","N/A","N/A"
53394,"Men's 'Oculina Carmina' Facial Augmentation",30,"Apparel",1670,"Augmentations","N/A","N/A"
53435,"Nidhoggur Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53461,"Yoiul Festival Starburst Firework",8,"Charge",500,"Festival Charges","N/A","N/A"
53154,"Merlin Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53627,"Augoror Navy Issue Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53008,"Paladin Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52761,"Nereus Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53427,"Leviathan Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52922,"High-Grade Mimesis Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
53493,"Festival Facial Augmentation and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53210,"Rifter Harmonious Ascension SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53156,"Hawk Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53372,"Cormorant Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53166,"Cormorant Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53198,"Wyvern Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52739,"Vexor Navy Issue Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53604,"Purifier Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53177,"Basilisk Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52765,"Anshar Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52718,"Taranis Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52787,"Mid-Grade Mimesis Gamma",20,"Implant",300,"Cyberimplant","N/A","N/A"
53615,"Confessor Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53343,"Yoiul Festival Snowball",8,"Charge",500,"Festival Charges","N/A","N/A"
53905,"Low-grade Savior Delta",20,"Implant",300,"Cyberimplant","N/A","N/A"
52916,"Baryon Exotic Plasma XL",8,"Charge",1987,"Exotic Plasma Charge","N/A","N/A"
53635,"Abaddon Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53135,"Drake Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52729,"Thorax Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53380,"Women's Aurora Universalis T-Shirt",30,"Apparel",1089,"Tops","N/A","N/A"
53854,"Low-grade Nirvana Beta",20,"Implant",300,"Cyberimplant","N/A","N/A"
53420,"Oracle Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53707,"Mid-grade Nirvana Epsilon",20,"Implant",300,"Cyberimplant","N/A","N/A"
52681,"Low-Grade Mimesis Delta",20,"Implant",300,"Cyberimplant","N/A","N/A"
53041,"Men's 'RubySet TorsoRig' Body Augmentation",30,"Apparel",1670,"Augmentations","N/A","N/A"
53620,"Sacrilege Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53619,"Omen Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53019,"Cruor Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52755,"Nyx Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52754,"Thanatos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53365,"Apocalypse Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52892,"Nidhoggur Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53009,"Avatar Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53609,"Imperial Navy Slicer Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52853,"Hound Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52766,"Ninazu Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53958,"Ishtar Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52744,"Eos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53631,"Prophecy Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53157,"Buzzard Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53431,"Erebus Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53291,"Dreadnought Systems Diagram",17,"Commodity",526,"Commodities","N/A","N/A"
53630,"Oracle Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53906,"Low-grade Savior Epsilon",20,"Implant",300,"Cyberimplant","N/A","N/A"
52733,"Phobos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53705,"Mid-grade Nirvana Beta",20,"Implant",300,"Cyberimplant","N/A","N/A"
53895,"High-grade Savior Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
53605,"Sentinel Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53421,"Revelation Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53535,"Thrasher Metalbee Minmatar SKIN (Permanent)",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52707,"Imicus Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53494,"Festival Fireworks Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53167,"Stork Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52861,"Thrasher Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52881,"Claymore Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53134,"Scorpion Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53853,"Low-grade Nirvana Alpha",20,"Implant",300,"Cyberimplant","N/A","N/A"
53956,"Eagle Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53665,"Nergal Blackfire Steel SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53165,"Corax Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53436,"Astero Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52717,"Ares Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53955,"Jackdaw Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53020,"Ashimmu Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52998,"Capital Precursor Weapon",16,"Skill",255,"Gunnery","N/A","N/A"
54163,"Gamealfur Ale",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
54162,"Bouquet of Flowers",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53057,"Halloween Horrors Gila SKIN",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
52917,"High-Grade Mimesis Alpha",20,"Implant",300,"Cyberimplant","N/A","N/A"
53024,"Draugur All-Stars Casino Clash SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53204,"Charon Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53517,"Festival Skill Points and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53131,"Prophecy Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53624,"Curse Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52850,"Jaguar Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53642,"Revelation Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
